station,year,month,replicate,EG1(%),EG2(%),EG3(%),EG4(%),EG5(%),"NA"
Kraimorie,2013,6,a,15,7.368,31.053,36.316,10.263,4
Kraimorie,2013,6,b,6.289,7.128,32.914,42.138,11.53,0
Kraimorie,2013,6,c,9.474,8.947,29.474,41.579,10.526,0
Kraimorie,2013,9,a,7.12,6.796,32.362,44.984,8.738,0
Kraimorie,2013,9,b,5.068,3.378,44.257,39.527,7.77,0
Kraimorie,2013,9,c,11.111,10.256,32.051,30.769,15.812,0
Kraimorie,2014,7,a,2.895,10.526,31.842,43.684,11.053,0
Kraimorie,2014,7,b,10.613,8.491,24.292,41.274,15.33,1
Kraimorie,2014,7,c,10.991,8.405,21.983,48.06,10.56,0
Chukalya,2013,6,a,14.085,39.437,4.695,31.925,9.859,1
Chukalya,2013,6,b,9.746,34.746,15.254,30.932,9.322,3
Chukalya,2013,6,c,9.434,39.623,10.189,21.887,18.868,0
Chukalya,2013,9,a,7.377,32.787,13.115,33.607,13.115,0
Chukalya,2013,9,b,11.29,34.677,12.097,37.097,4.839,0
Chukalya,2013,9,c,4.348,44.928,6.522,31.884,12.319,0
Chukalya,2014,7,a,12.987,37.229,16.883,18.182,14.719,0
Chukalya,2014,7,b,8.935,39.175,12.371,20.275,19.244,16
Chukalya,2014,7,c,9.123,34.035,9.825,27.018,20,0
Akin,2013,6,a,12.584,44.444,0.268,0.669,42.035,2
Akin,2013,6,b,17.222,32.111,1,2,47.667,1
Akin,2013,6,c,13.161,23.001,0.615,1.968,61.255,0
Akin,2013,9,a,30.075,49.248,1.504,2.256,16.917,2
Akin,2013,9,b,26.074,35.583,0.613,0.92,36.81,0
Akin,2013,9,c,22.84,53.395,1.235,1.235,21.296,0
Akin,2014,7,a,16.667,70.402,0.862,0.862,11.207,1
Akin,2014,7,b,18.82,56.459,0.797,1.116,22.807,1
Akin,2014,7,c,27.668,50.198,9.486,1.186,11.462,1
Sozopol,2013,6,a,90.323,4.516,3.871,0,1.29,0
Sozopol,2013,6,b,82.237,3.947,13.816,0,0,0
Sozopol,2013,6,c,87.088,3.571,8.791,0,0.549,0
Sozopol,2013,9,a,87.027,4.865,7.027,0.541,0.541,0
Sozopol,2013,9,b,76.423,8.13,13.008,1.626,0.813,0
Sozopol,2013,9,c,91.342,5.195,1.732,0,1.732,0
Sozopol,2014,7,a,56.667,42.083,0.417,0.417,0.417,0
Sozopol,2014,7,b,18.367,67.687,13.605,0,0.34,0
Sozopol,2014,7,c,68.305,30.467,0.983,0.246,0,0
Agalina,2013,6,a,50.192,26.731,8.077,5.769,9.231,14
Agalina,2013,6,b,50.93,31.163,2.558,9.767,5.581,5
Agalina,2013,6,c,54.291,28.543,6.986,4.192,5.988,21
Agalina,2013,9,a,54.952,24.281,5.112,7.987,7.668,10
Agalina,2013,9,b,52.613,25.436,2.091,12.544,7.317,4
Agalina,2013,9,c,49.2,30.8,3.2,11.2,5.6,11
Agalina,2014,7,a,53.537,23.901,6.883,11.663,4.015,9
Agalina,2014,7,b,54.545,24.513,5.032,14.123,1.786,29
Agalina,2014,7,c,58.154,26.422,4.298,9.608,1.517,5
Paraskeva,2013,6,a,71.564,15.64,11.374,0,1.422,0
Paraskeva,2013,6,b,73.514,21.622,3.784,0,1.081,0
Paraskeva,2013,6,c,63.81,26.19,8.571,0,1.429,0
Paraskeva,2013,9,a,73.913,19.13,4.348,0.87,1.739,0
Paraskeva,2013,9,b,63.265,23.469,8.163,2.041,3.061,0
Paraskeva,2013,9,c,73.026,20.395,5.921,0,0.658,0
Paraskeva,2014,7,a,90.234,8.594,0.781,0.391,0,0
Paraskeva,2014,7,b,70.303,21.212,5.455,0.606,2.424,0
Paraskeva,2014,7,c,56.915,26.064,2.66,0,14.362,0
