station,year,month,replicate,EG1(%),EG2(%),EG3(%),EG4(%),EG5(%),"NA"
Poda,2013,6,a,3.44,4.817,13.303,37.615,40.826,1
Poda,2013,6,b,4.135,14.662,13.534,23.308,44.361,0
Poda,2013,6,c,3.785,10.095,13.88,35.962,36.278,0
Poda,2013,6,d,7.306,8.676,15.525,27.397,41.096,0
Poda,2014,7,a,44.853,11.029,9.559,24.265,10.294,0
Poda,2014,7,b,65.052,4.844,4.152,16.955,8.997,0
Poda,2014,7,c,62.548,7.722,7.336,12.741,9.653,1
Poda,2014,7,d,50,14.286,8.442,24.026,3.247,0
Otmanli,2013,6,a,14.685,3.147,9.441,40.21,32.517,2
Otmanli,2013,6,b,15.593,3.051,7.119,48.136,26.102,0
Otmanli,2013,6,c,33.199,4.024,7.042,25.352,30.382,18
Otmanli,2013,6,d,8.627,5.098,10.588,27.059,48.627,0
Otmanli,2014,7,a,36.111,7.292,11.111,12.153,33.333,1
Otmanli,2014,7,b,42.424,4.545,9.091,20.707,23.232,0
Otmanli,2014,7,c,44.488,3.15,9.055,16.929,26.378,0
Otmanli,2014,7,d,35.223,5.263,5.668,23.077,30.769,1
Vromos,2014,7,a,6.107,28.244,27.863,1.527,36.26,0
Vromos,2014,7,b,7.512,44.601,23.944,0.939,23.005,1
Vromos,2014,7,c,4.472,22.561,39.431,0.203,33.333,0
Vromos,2014,7,d,9.459,18.649,58.649,0.541,12.703,0
Gradina,2013,6,a,60.385,6.538,2.308,2.692,28.077,3
Gradina,2013,6,b,81.163,2.909,3.047,3.463,9.418,0
Gradina,2013,6,c,59.615,5.22,4.121,8.516,22.527,1
Gradina,2013,6,d,82.516,2.772,2.559,3.625,8.529,1
Gradina,2014,7,a,26.891,36.134,6.723,3.782,26.471,0
Gradina,2014,7,b,63.415,13.884,4.128,9.568,9.006,0
Gradina,2014,7,c,75.535,9.021,2.905,2.752,9.786,1
Gradina,2014,7,d,50.12,21.928,3.133,8.193,16.627,1
Ropotamo,2013,6,a,5.779,10.683,17.513,4.904,61.121,2
Ropotamo,2013,6,b,17.007,4.859,9.135,6.9,62.099,9
Ropotamo,2013,6,c,16.809,6.383,15.957,4.894,55.957,3
Ropotamo,2013,6,d,22.768,10.938,13.839,5.804,46.652,1
