"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"0",25,25,19,22,19,22,26,21,19,28,31,24,26,25,27,30,35,30,28,30,27,30,28,27,31,30,32,35,18,14,22,19
"0.11",21.8260629026026,22.4441260277452,16.7327290481936,19.6673233847231,17.5459025898098,18.9166165017478,22.9791059161326,19.0871775537829,17.3205839380167,24.1522587309167,27.6669684324007,21.1542606285194,23.0854315576485,22.7308761659335,23.6841988052528,26.3258451435648,28.7641420704251,24.5966575619715,24.263995802986,24.4896781436241,24.0612094180647,25.4646406038137,23.2411241006075,24.2018325108112,27.1380197266252,25.9016410341941,27.4713915300724,30.745897040501,15.7076590627181,12.476214326722,18.2639683988946,16.6315293433751
"0.22",19.0138481854161,20.0618251320312,14.6851171427485,17.5238205687493,16.1425280634539,16.1091889668815,20.1336768622919,17.2882299597257,15.8040145296238,20.7389233236033,24.7340847454725,18.6371483257016,20.3765979056647,20.5840632994094,20.6303395165218,22.9369878042134,23.4024334859023,19.9124854989811,20.9718110601549,19.6363948381378,21.3869786435434,21.5185807936363,19.0674090943748,21.6956448497033,23.6556935942241,22.2695604001034,23.4569621264689,26.9367682655355,13.7002670496873,11.1207902333392,15.1745769798969,14.5553340358211
"0.33",16.5619297398441,17.8672292018603,12.8699447258405,15.5835396263165,14.8047177569143,13.6094839154255,17.4937409470999,15.6162778202454,14.4511613428162,17.7917408633403,22.1916611049549,16.4566342044372,17.9012418333567,18.5790453394746,17.8764065300649,19.8836277591142,18.9327045864427,15.9758798071958,18.1362828395633,15.5224014323967,18.9961304576687,18.1665141463146,15.5057985652075,19.4838269505886,20.577941981988,19.1083576222471,19.984060998434,23.5991023248907,11.9803289052618,9.93296625027349,12.6984135384829,12.7689759796966
"0.44",14.4571644957858,15.8713073061479,11.2910698087084,13.8540680288335,13.5465149181969,11.4376623794024,15.088030576921,14.0813126745455,13.2578174973417,15.312452901297,20.0164697952903,14.602954164518,15.680998520416,16.7323404558993,15.4476050334937,17.1992559154508,15.3216923703422,12.7743553328796,15.7456989225941,12.1774749679297,16.895054100169,15.3833668025173,12.5541221752243,17.5582928027453,17.911435771598,16.4084736892025,17.0515825547909,20.7358588387009,10.5360466548791,8.90612522091755,10.7667553916809,11.2575143876376
"0.55",12.6758062818339,14.0805464852562,9.94252195860182,12.3355894310609,12.379897656803,9.59803394910842,12.9402446891796,12.6894189025924,12.2153246569836,13.2740912258486,18.1750553677866,13.0514566876838,13.7280567891065,15.0558436608841,13.3525929552563,14.8956536326501,12.4877470408255,10.2521628826595,13.7667279059049,9.56801734888183,15.0775134764581,13.1181735371927,10.1778448289218,15.9017344389294,15.6437936425363,14.1445266725442,14.6299203320566,18.3265660333512,9.34369783528944,8.02872450925876,9.29016855988448,9.99602896217193
"0.66",11.1860419795019,12.4958762977349,8.80929227288165,11.0208977888408,11.3136391197864,8.0774536387419,11.0648726072312,11.4423299163293,11.3116608305932,11.62819421482,16.6279689643776,11.7675771986863,12.0430083933302,13.5555674368972,11.5825069102438,12.9620204904063,10.3154305061839,8.3189144827935,12.1510609184595,7.60467729750218,13.5263262930479,11.3027101012065,8.3140322880211,14.489998262792,13.7460434362703,12.2768787700634,12.6666997291885,16.331700451556,8.37187264201008,7.28579381170756,8.17505282622025,8.9534516307415
"0.77",9.95138538200155,11.1121785565841,7.86960914931004,9.89642097352858,10.3525414373435,6.84736375123082,9.46393861939641,10.3374276979984,10.5327376444165,10.3150306219839,15.3339114536249,10.7123453446437,10.6146883698775,12.2311060495352,10.11325202123,11.3686047942626,8.67649016881892,6.86653972008011,10.8434711742126,6.16621433754246,12.2164141738755,9.86197210111399,6.88190607555471,13.2949734534658,12.1776031895975,10.7560559064204,11.0962674424525,14.6997935444429,7.58617068614766,6.66062752621291,7.33622981044957,8.09658572213015
"0.88",8.93414106329675,9.91859783098404,7.09797792884267,8.94400254987802,9.49721009375369,5.86891708416786,8.12603320533705,9.36820060286685,9.86365372658384,9.27325124872445,14.2530388219925,9.8470376429845,9.42211834419953,11.0759707239438,8.91027167100777,10.073393250464,7.44897197446813,5.78744599566256,9.7889392238919,5.12743842162359,11.1183757143676,8.72332102889568,5.79600074313286,12.2873542256386,10.8922343958177,9.52851842892783,9.84963341063255,13.3749728310206,6.95311098275918,6.13631561883378,6.70325413261885,7.39338368752611
"0.99",8.09825829681502,8.89962885466226,6.46812915700188,8.1429943265813,8.74439080115554,5.09929316934302,7.0281720478795,8.5250682229947,9.28972386222607,8.44664006944505,13.3491180593897,9.13628144482595,8.43788615365393,10.0786957670828,7.93418009973562,9.02946635424931,6.52899058557581,4.9874061688767,8.93748317150974,4.37914398260743,10.2017598073893,7.82242535347715,4.97717812000764,11.438827957284,9.84339715510577,8.54201598108939,8.86215038378337,12.3030675678457,6.44264445970399,5.6968891684158,6.22149248360279,6.81505143177931
"1.1",7.4112232823968,8.03671861526287,5.95526724664054,7.47220620470749,8.08774338885928,4.49715935864831,6.13979836670123,7.79640587873818,8.79720329170719,7.78748751081417,12.5905947574461,8.54960186027833,7.63188923500337,9.22441387041965,7.14568303897493,8.19099431039313,5.83461229660463,4.3910567790106,8.24652572621906,3.83612986188333,9.4375227676107,7.10582334359405,4.35888015080731,10.7235123340279,8.98805123110795,7.74935302662524,8.07787241473227,11.4354584773764,6.02929376409803,5.32801741563084,5.85026841497866,6.33701774169266
"1.21",6.84498255127462,7.31000108612571,5.53740935198425,6.91140906416278,7.51883870012838,4.02612707290317,5.42744682081586,7.16958206327543,8.37371139919198,7.25734405159702,11.9508351939017,8.06179178838798,6.97450307004468,8.49652754869633,6.50891106429026,7.5169754884388,5.30442939744377,3.94170034037576,7.68137605218937,3.43648435387268,8.79952537812081,6.5309996135866,3.88879364601122,10.1186879754329,8.28871062843565,7.11027917209538,7.4509861618037,10.730797752132,5.6922924192145,5.01731211796198,5.55999917428355,5.93906504336963
"1.32",6.37610857160247,6.6998202095196,5.19591967079806,6.44228579149699,7.02816006645742,3.65615714035567,4.85867331574225,6.63185807460747,8.00840955837321,6.82625257921981,11.407848236257,7.65257068627772,6.4387003350071,7.87816836939957,5.99307888459082,6.97285172067595,4.8938097188785,3.59826508341343,7.21459741019936,3.13702490543598,8.26519596007538,6.06510253145924,3.52760165510605,9.60499228169227,7.71407911016617,6.5918583491319,6.94534393517393,10.1552037494931,5.41515374793732,4.7543492318398,5.32940763637006,5.60496581782156
"1.43",5.98548503768954,6.18783915639489,4.91548601323401,6.04888215872758,6.60595116895642,3.36350979137762,4.40455088638157,6.1710651542122,7.69200514628106,6.47135135564704,10.9437427111537,7.30591151365165,6.00110840695922,7.35327458240563,5.57286369951025,6.53064021892833,4.57081470078588,3.33158997314658,6.82489124581011,2.9082086114593,7.81560244261177,5.68317719678376,3.24653468542049,9.16626593862356,7.23877365505089,6.16789596378041,6.53308756758083,9.68159089671071,5.18500386122804,4.53052070559358,5.14323020084724,5.32190022113183
"1.54",5.65775439750215,5.75769211738013,4.68378750670243,5.71768694422991,6.2428354052379,3.12993752523409,4.04074924008432,5.7760407545756,7.41664893409082,6.1753883362779,10.5440965528322,7.00928194461492,5.64225802261901,6.90725574020317,5.22801682557022,6.16826128951022,4.31269872395475,3.12112169439358,6.49589435949238,2.72991561251656,7.43517660157568,5.36642401643974,3.02481771234115,8.78921452382049,6.8425898439449,5.81793700727079,6.19303336519689,9.28863914736574,4.99188340679723,4.33880554329683,4.99048383186185,5.07983129112891
"1.65",5.3806965123464,5.39524552490185,4.49103893571804,5.43748153727717,5.93020266427302,2.9416358184049,3.74760092397157,5.43685245087005,7.17577822657716,5.92540184809373,10.1973414508533,6.75293178362671,5.34633796173463,6.52730440799473,4.94263062675605,5.86856050291656,4.10322280414046,2.95235368395988,6.21508829643927,2.58837422052033,7.11127773649925,5.10070738158531,2.84750191925437,8.46300004475426,6.50962208039202,5.52617574135827,5.90917025135527,8.95971142662566,4.82811902257689,4.17351943752331,4.8632127702985,4.87093046631437
"1.76",5.14463615407911,5.08858236787291,4.32952458406901,5.19907355275353,5.66040178926287,2.78823683272219,3.50961238897611,5.14486043608228,6.96394159748355,5.711648886376,9.89421391498826,6.52928211866998,5.10071552758426,6.20245264963282,4.70433000604657,5.61831495638294,3.93070979347957,2.81497473663948,5.97289339191874,2.47405414500528,6.83371678626319,4.87537032651713,2.70379809848344,8.17883250905175,6.22741516062356,5.28045642245631,5.6694068193602,8.68187286172468,4.68780025332056,4.03007677072959,4.75560268185868,4.68909056772969
