"stations","replicates","years","s","h","j","h.effective"
"Poda","a","2013",25,2.08319757697693,0.647181715082852,8.0301047843003
"Poda","b","2013",25,2.17645798267861,0.67615468911968,8.81502791563987
"Poda","c","2013",19,1.85895450638044,0.631344211761083,6.41702430515265
"Poda","d","2013",22,2.08901396854642,0.675828300668203,8.07694711267391
"Poda","a","2014",19,2.16111787638508,0.73396592412891,8.68083633843631
"Poda","b","2014",22,1.61705320685539,0.523141700981334,5.03822182260725
"Poda","c","2014",26,1.93719367957212,0.594578354866214,6.93924986161445
"Poda","d","2014",21,2.13467300944361,0.701152004332029,8.45428158459525
"Otmanli","a","2013",19,2.22373471429003,0.755232059493916,9.24178190839668
"Otmanli","b","2013",28,2.12590050552049,0.63798620373655,8.38044072439103
"Otmanli","c","2013",31,2.58585156600092,0.753017239733314,13.2745884664171
"Otmanli","d","2013",24,2.20587990930305,0.694097717363567,9.07823607889958
"Otmanli","a","2014",26,2.12318389185111,0.651663898559753,8.35770520036376
"Otmanli","b","2014",25,2.30212166609728,0.715194307376409,9.99536680468893
"Otmanli","c","2014",27,2.06119069186603,0.625392207098191,7.85531750676139
"Otmanli","d","2014",30,2.19114056036973,0.644226228146431,8.94541007869354
"Gradina","a","2013",35,1.8652582341628,0.524634494823947,6.45760324446502
"Gradina","b","2013",30,1.59447750426081,0.468798874436859,4.92575471378182
"Gradina","c","2013",28,2.18251850063984,0.654977356274297,8.86861376563786
"Gradina","d","2013",30,1.46380682974078,0.430379853175538,4.32238282365102
"Gradina","a","2014",27,2.31514624356925,0.702445642091501,10.1264037318864
"Gradina","b","2014",30,2.04774175562909,0.60206495708531,7.75037907931548
"Gradina","c","2014",28,1.59200087703648,0.477762055772734,4.91357054960148
"Gradina","d","2014",27,2.43086044706754,0.737554844458842,11.368660002867
"Ropotamo","a","2013",31,2.2781130493472,0.663401729153723,9.75824969044535
"Ropotamo","b","2013",30,2.13565685687026,0.627913236786796,8.46260340080388
"Ropotamo","c","2013",32,2.17284276432966,0.626949896145975,8.78321720095912
"Ropotamo","d","2013",35,2.50278158907003,0.703948402739945,12.216427825905
"Vromos","a","2014",18,1.85651658853537,0.642310658988269,6.40139918121
"Vromos","b","2014",14,1.73353702517111,0.65687736515517,5.66064036875378
"Vromos","c","2014",22,1.82191556058152,0.589417838180148,6.18369234930192
"Vromos","d","2014",19,1.91217366161181,0.649418675388253,6.76778369349245
