stations,replicates,years,Species,D,Dstar,Lambda,Dplus,sd.Dplus,SDplus,ED,EDstar,EDplus
Kraimorie,a,2013,31,76.0517971205,86.9481513779,398.7331882739,86.875465957,1.7952496658,2693.1394446668,84.5274396638,84.3615130905,86.5900780282
Kraimorie,b,2013,29,72.0524392376,87.8661074004,417.3960166376,86.4824448646,1.8742139135,2507.9909010733,84.5274396638,84.3615130905,86.5900780282
Kraimorie,c,2013,33,75.3539523698,86.7252211806,466.7999591266,83.4238517927,1.7247767692,2752.9871091588,84.5274396638,84.3615130905,86.5900780282
Kraimorie,a,2013,31,71.7862880498,85.3758249798,443.9005710674,84.2665734265,1.7952496658,2612.2637762212,84.5274396638,84.3615130905,86.5900780282
Kraimorie,b,2013,28,68.4132389945,87.9653872274,359.7785785828,87.9179659421,1.9174251082,2461.7030463795,84.5274396638,84.3615130905,86.5900780282
Kraimorie,c,2013,28,77.9266422937,90.0920654612,374.7219262015,87.4820794482,1.9174251082,2449.4982245497,84.5274396638,84.3615130905,86.5900780282
Kraimorie,a,2014,25,72.3746739497,89.6631926647,391.4982375847,85.6522264017,2.0654182813,2141.3056600414,84.5274396638,84.3615130905,86.5900780282
Kraimorie,b,2014,37,76.9543070261,90.3773990607,449.5496781003,85.1679140161,1.6040088749,3151.212818596,84.5274396638,84.3615130905,86.5900780282
Kraimorie,c,2014,32,75.4437043456,89.0111667042,371.6130079209,87.6834786981,1.7590472919,2805.8713183393,84.5274396638,84.3615130905,86.5900780282
Chukalya,a,2013,20,64.4899180412,78.6628901453,445.880697824,84.8268011371,2.399916306,1696.5360227414,84.5274396638,84.3615130905,86.5900780282
Chukalya,b,2013,35,73.2489171075,81.9106338268,402.5401150655,86.1780378808,1.6613966233,3016.2313258287,84.5274396638,84.3615130905,86.5900780282
Chukalya,c,2013,30,76.5243702756,87.1716197466,393.2736736544,86.4385519339,1.8335685924,2593.1565580184,84.5274396638,84.3615130905,86.5900780282
Chukalya,a,2013,29,79.5770676928,87.6862431808,388.0077844624,86.8526724508,1.8742139135,2518.7275010723,84.5274396638,84.3615130905,86.5900780282
Chukalya,b,2013,26,66.0053719346,76.8785514974,465.9170711985,83.6543299106,2.0126855451,2175.0125776756,84.5274396638,84.3615130905,86.5900780282
Chukalya,c,2013,23,76.5408533963,87.2315541302,472.2157742746,83.4663013784,2.1832416622,1919.724931704,84.5274396638,84.3615130905,86.5900780282
Chukalya,a,2014,34,83.6520426005,91.3570207598,354.3488532843,88.6222932936,1.6922748385,3013.1579719808,84.5274396638,84.3615130905,86.5900780282
Chukalya,b,2014,34,81.1308269861,90.9564560213,347.8302538597,88.2895503149,1.6922748385,3001.8447107053,84.5274396638,84.3615130905,86.5900780282
Chukalya,c,2014,32,80.2705069747,91.7163047202,329.7644945782,89.0568109087,1.7590472919,2849.8179490768,84.5274396638,84.3615130905,86.5900780282
Akin,a,2013,23,62.1475196533,95.6756734648,331.8803545818,88.6986834147,2.1832416622,2040.0697185384,84.5274396638,84.3615130905,86.5900780282
Akin,b,2013,26,63.6851371779,93.2912546752,380.1367358382,86.2555708942,2.0126855451,2242.6448432499,84.5274396638,84.3615130905,86.5900780282
Akin,c,2013,21,54.9534565305,94.7909692284,400.4063255272,86.1583832114,2.3213699215,1809.3260474397,84.5274396638,84.3615130905,86.5900780282
Akin,a,2013,26,69.8582842951,89.3644953364,326.200515461,87.8941045484,2.0126855451,2285.2467182592,84.5274396638,84.3615130905,86.5900780282
Akin,b,2013,23,70.4438534715,92.6105799709,350.778875483,87.3478093125,2.1832416622,2008.9996141882,84.5274396638,84.3615130905,86.5900780282
Akin,c,2013,25,67.4713711007,91.0137722202,325.3350272219,88.0245320559,2.0654182813,2200.6133013975,84.5274396638,84.3615130905,86.5900780282
Akin,a,2014,21,57.2662268794,92.2449130268,265.3399585807,89.8415774138,2.3213699215,1886.6731256901,84.5274396638,84.3615130905,86.5900780282
Akin,b,2014,27,65.7825159774,93.6915588959,332.4228549657,88.6018085561,1.9634767993,2392.2488310137,84.5274396638,84.3615130905,86.5900780282
Akin,c,2014,24,74.3651989352,93.1888086505,319.6721287252,88.8358035076,2.1221029049,2132.0592841824,84.5274396638,84.3615130905,86.5900780282
Sozopol,a,2013,20,21.6399569911,94.6152369636,360.2904916146,87.9708928167,2.399916306,1759.4178563338,84.5274396638,84.3615130905,86.5900780282
Sozopol,b,2013,15,33.8241174844,94.8347953286,309.4775151494,88.9439638094,2.9375600562,1334.1594571417,84.5274396638,84.3615130905,86.5900780282
Sozopol,c,2013,17,27.5964436469,93.2298705096,313.1495627592,88.849128143,2.6867150178,1510.4351784318,84.5274396638,84.3615130905,86.5900780282
Sozopol,a,2013,19,29.1479407361,95.5835397011,387.0541245415,86.8720313872,2.4860976323,1650.568596357,84.5274396638,84.3615130905,86.5900780282
Sozopol,b,2013,21,45.2654365093,93.3127598849,354.4460569554,86.9279015511,2.3213699215,1825.4859325723,84.5274396638,84.3615130905,86.5900780282
Sozopol,c,2013,17,22.7119704586,93.9862808238,269.5435314538,89.8319305907,2.6867150178,1527.1428200413,84.5274396638,84.3615130905,86.5900780282
Sozopol,a,2014,18,59.0579919684,93.9459599325,278.7444956389,89.1106850534,2.5811759563,1603.9923309618,84.5274396638,84.3615130905,86.5900780282
Sozopol,b,2014,22,58.5320747774,90.7893243226,286.0779499637,89.4531921901,2.2494282537,1967.9702281824,84.5274396638,84.3615130905,86.5900780282
Sozopol,c,2014,24,50.5760862047,95.5366994407,327.1310137376,89.712589507,2.1221029049,2153.1021481686,84.5274396638,84.3615130905,86.5900780282
Agalina,a,2013,37,77.618178458,86.0299976326,508.6551933785,80.1717959215,1.6040088749,2966.3564490943,84.5274396638,84.3615130905,86.5900780282
Agalina,b,2013,35,77.8797732131,85.9741303529,432.4263737233,84.4839687503,1.6613966233,2956.9389062608,84.5274396638,84.3615130905,86.5900780282
Agalina,c,2013,43,75.7829950627,88.0813412502,481.1973036111,80.8228896914,1.4598175505,3475.3842567302,84.5274396638,84.3615130905,86.5900780282
Agalina,a,2013,38,78.8609947144,86.9211233357,423.3365691563,84.1186401619,1.5772805706,3196.5083261521,84.5274396638,84.3615130905,86.5900780282
Agalina,b,2013,38,77.0662970926,84.4738586452,422.9296957702,82.8533889987,1.5772805706,3148.4287819523,84.5274396638,84.3615130905,86.5900780282
Agalina,c,2013,38,78.9712690905,85.6460389594,478.4863926352,81.535522127,1.5772805706,3098.3498408255,84.5274396638,84.3615130905,86.5900780282
Agalina,a,2014,40,77.8201810404,86.3345547496,414.0885645685,84.7652383651,1.5272886008,3390.6095346049,84.5274396638,84.3615130905,86.5900780282
Agalina,b,2014,40,75.1022743585,86.7476749605,449.3251969447,83.5395569855,1.5272886008,3341.5822794209,84.5274396638,84.3615130905,86.5900780282
Agalina,c,2014,43,67.6058075073,88.8675136068,419.4899747928,84.2577347493,1.4598175505,3623.0825942189,84.5274396638,84.3615130905,86.5900780282
Paraskeva,a,2013,28,64.0730814876,90.8023971568,322.2065837751,88.914310526,1.9174251082,2489.6006947275,84.5274396638,84.3615130905,86.5900780282
Paraskeva,b,2013,25,73.3778463523,93.1882579737,348.0862021879,87.6745417358,2.0654182813,2191.8635433949,84.5274396638,84.3615130905,86.5900780282
Paraskeva,c,2013,36,71.9886457069,92.6049890557,332.9921370955,89.2197548069,1.6320130819,3211.9111730473,84.5274396638,84.3615130905,86.5900780282
Paraskeva,a,2013,30,60.6110350427,90.2898833658,417.3767714217,86.0794762279,1.8335685924,2582.384286837,84.5274396638,84.3615130905,86.5900780282
Paraskeva,b,2013,31,72.7093551569,89.9644716534,376.161124192,86.897843128,1.7952496658,2693.833136967,84.5274396638,84.3615130905,86.5900780282
Paraskeva,c,2013,28,61.350852152,91.5719155773,337.3888608895,88.9860135518,1.9174251082,2491.6083794497,84.5274396638,84.3615130905,86.5900780282
